CLUESmallArea,BlockId,Usage,SumFloors2002,BuildingCount2002,SumFloors2021,BuildingCount2021,MostFloors2002,MostFloors2021
Parkville,927,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,927,Unoccupied - Unused,0,0,0,0
Parkville,927,Parking - Commercial Covered,0,0,0,0
Parkville,918,House/Townhouse,53.0,35,56.0,36,2,2
Parkville,918,Residential Apartment,7.0,3,5.0,2,3,3
Parkville,918,Office,0,0,0,0
Parkville,918,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,918,Unoccupied - Unused,0,0,0,0
Parkville,918,Parking - Commercial Covered,0,0,0,0
Parkville,916,Office,0.0,0,2.0,1,0,2
Parkville,916,House/Townhouse,28.0,19,27.0,18,2,2
Parkville,916,Unoccupied - Unused,0.0,0,6.0,3,0,2
Parkville,916,Residential Apartment,4.0,2,4.0,2,2,2
Parkville,916,Educational/Research,0.0,0,0.0,0,0,0
Parkville,916,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
Parkville,916,Student Accommodation,4.0,2,0.0,0,2,0
Parkville,916,Hospital/Clinic,2.0,1,0.0,0,2,0
Parkville,916,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,916,Parking - Commercial Covered,0,0,0,0
Parkville,912,House/Townhouse,24.0,14,24.0,14,2,2
Parkville,912,Office,0,0,0,0
Parkville,912,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,912,Unoccupied - Unused,0,0,0,0
Parkville,912,Parking - Commercial Covered,0,0,0,0
Parkville,270,Office,0.0,0,21.0,3,0,11
Parkville,270,Educational/Research,12.0,1,217.0,41,12,13
Parkville,270,Public Display Area,0.0,0,5.0,2,0,4
Parkville,270,Unoccupied - Under Renovation,0.0,0,3.0,2,0,2
Parkville,270,Equipment Installation,0.0,0,5.0,2,0,4
Parkville,270,House/Townhouse,0.0,0,1.0,1,0,1
Parkville,270,Entertainment/Recreation - Indoor,0.0,0,7.0,4,0,2
Parkville,270,Retail - Stall,0.0,0,1.0,1,0,1
Parkville,270,Unoccupied - Under Construction,0.0,0,5.0,2,0,4
Parkville,270,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0,0,0
Parkville,270,Storage,0.0,0,0.0,0,0,0
